id,order_id,variant_id,product_id,sku,title,name,variant_title,quantity,price,total_discount,tax_lines,fulfillment_status,requires_shipping,taxable,gift_card,properties,vendor
500000100,5000001,2001485,1000249,TR-0249-XS-PLA,Western Shirt 5,Western Shirt 5 - XS / Plaid,XS / Plaid,2,55.13,1.62,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 8.69}]",fulfilled,True,True,False,[],Northwind Co.
500000101,5000001,2000079,1000034,OJ-0034-XS-BRO,Pacific Jacket 7,Pacific Jacket 7 - XS / Brown,XS / Brown,3,192.48,2.18,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 46.02}]",fulfilled,True,True,False,[],Northwind Co.
500000102,5000001,2003570,1000596,LE-0596-XS-TER,Collector Variou 11,Collector Variou 11 - XS / Terracotta,XS / Terracotta,1,101.09,0.77,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 8.03}]",fulfilled,True,True,False,[],Northwind Co.
500000103,5000001,2000918,1000156,TT-0156-S-WHI,Boxy T-Shirt 62,Boxy T-Shirt 62 - S / White,S / White,1,50.91,1.81,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 3.93}]",fulfilled,True,True,False,[],Northwind Co.
500000104,5000001,2003124,1000536,FS-0536-8-WHI,Trail Sneaker 33,Trail Sneaker 33 - 8 / White,8 / White,1,123.19,3.69,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 9.56}]",fulfilled,True,True,False,[],Northwind Co.
500000200,5000002,2001826,1000305,BJ-0305-29-GRA,Straight Jean 16,Straight Jean 16 - 29 / Gray,29 / Gray,2,144.32,6.54,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 22.57}]",fulfilled,True,True,False,[],Northwind Co.
500000300,5000003,2003435,1000578,FD-0578-9-TAN,Strap Sandal 8,Strap Sandal 8 - 9 / Tan,9 / Tan,1,82.6,1.73,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 6.47}]",fulfilled,True,True,False,[],Northwind Co.
500000301,5000003,2001074,1000188,TT-0188-XL-TER,Organic T-Shirt 94,Organic T-Shirt 94 - XL / Terracotta,XL / Terracotta,1,37.42,0.97,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 2.92}]",fulfilled,True,True,False,[],Northwind Co.
500000302,5000003,2001406,1000237,TS-0237-XS-FOR,Oversized Sweater 48,Oversized Sweater 48 - XS / Forest,XS / Forest,1,83.9,2.58,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 6.51}]",fulfilled,True,True,False,[],Northwind Co.
500000400,5000004,2000840,1000145,TT-0145-XS-WHI,Classic T-Shirt 51,Classic T-Shirt 51 - XS / White,XS / White,1,51.27,0.46,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 4.06}]",fulfilled,True,True,False,[],Northwind Co.
500000401,5000004,2002364,1000378,BP-0378-S-STO,Cargo Pant 29,Cargo Pant 29 - S / Stone,S / Stone,1,85.29,3.66,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 6.53}]",fulfilled,True,True,False,[],Northwind Co.
500000500,5000005,2002469,1000393,BP-0393-XS-STO,Chino Pant 44,Chino Pant 44 - XS / Stone,XS / Stone,2,73.95,1.83,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 11.69}]",fulfilled,True,True,False,[],Northwind Co.
500000501,5000005,2001308,1000219,TS-0219-S-SLA,Lambswool Sweater 30,Lambswool Sweater 30 - S / Slate,S / Slate,1,88.01,2.45,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 6.84}]",fulfilled,True,True,False,[],Northwind Co.
500000502,5000005,2002991,1000517,FS-0517-8-TAN,High-Top Sneaker 14,High-Top Sneaker 14 - 8 / Tan,8 / Tan,1,206.86,8.17,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 15.9}]",fulfilled,True,True,False,[],Northwind Co.
500000600,5000006,2001590,1000263,TR-0263-XS-BLU,Western Shirt 19,Western Shirt 19 - XS / Blue,XS / Blue,1,54.35,2.33,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 4.16}]",fulfilled,True,True,False,[],Northwind Co.
500000700,5000007,2003405,1000574,FD-0574-10-WHI,Platform Sandal 4,Platform Sandal 4 - 10 / White,10 / White,1,82.27,1.83,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 6.44}]",fulfilled,True,True,False,[],Northwind Co.
500000701,5000007,2002201,1000352,BP-0352-XS-OLI,Jogger Pant 3,Jogger Pant 3 - XS / Olive,XS / Olive,2,89.18,3.79,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 13.97}]",fulfilled,True,True,False,[],Northwind Co.
500000702,5000007,2000720,1000129,TT-0129-S-SAG,Slim T-Shirt 35,Slim T-Shirt 35 - S / Sage,S / Sage,1,47.06,2.3,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 3.58}]",fulfilled,True,True,False,[],Northwind Co.
500000800,5000008,2003487,1000583,FD-0583-8-BLA,Slide Sandal 13,Slide Sandal 13 - 8 / Black,8 / Black,1,78.54,1.0,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 6.2}]",fulfilled,True,True,False,[],Northwind Co.
500000801,5000008,2003528,1000589,LE-0589-L-CRE,Collector Variou 4,Collector Variou 4 - L / Cream,L / Cream,1,111.02,0.9,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 8.81}]",fulfilled,True,True,False,[],Northwind Co.
500000900,5000009,2000911,1000155,TT-0155-XS-WHI,Relaxed T-Shirt 61,Relaxed T-Shirt 61 - XS / White,XS / White,1,46.17,1.7,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 3.56}]",fulfilled,True,True,False,[],Northwind Co.
500000901,5000009,2003388,1000570,FB-0570-11-TAN,Work Boot 22,Work Boot 22 - 11 / Tan,11 / Tan,1,233.6,6.34,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 18.18}]",fulfilled,True,True,False,[],Northwind Co.
500000902,5000009,2003348,1000563,FB-0563-7-CHE,Combat Boot 15,Combat Boot 15 - 7 / Chestnut,7 / Chestnut,1,271.17,4.45,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 21.34}]",fulfilled,True,True,False,[],Northwind Co.
500000903,5000009,2001189,1000201,TS-0201-M-CRE,Ribbed Sweater 12,Ribbed Sweater 12 - M / Cream,M / Cream,1,135.06,5.05,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 10.4}]",fulfilled,True,True,False,[],Northwind Co.
500001000,5000010,2002978,1000515,FS-0515-11-GRA,Everyday Sneaker 12,Everyday Sneaker 12 - 11 / Gray,11 / Gray,2,103.58,1.5,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 16.45}]",fulfilled,True,True,False,[],Northwind Co.
500001001,5000010,2002928,1000507,FS-0507-10-WHI,Classic Sneaker 4,Classic Sneaker 4 - 10 / White,10 / White,1,184.88,0.17,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 14.78}]",fulfilled,True,True,False,[],Northwind Co.
500001100,5000011,2003430,1000578,FD-0578-8-BLA,Strap Sandal 8,Strap Sandal 8 - 8 / Black,8 / Black,1,62.14,1.02,"[{""title"": ""Tax"", ""rate"": 0.08, ""price"": 4.89}]",fulfilled,True,True,False,[],Northwind Co.
