id,title,handle,product_type,vendor,status,published_at,image_url,tags,body_html,created_at,updated_at
1000001,Heritage Denim Jacket,heritage-denim-jacket,Outerwear,Northwind Co.,active,2022-09-01T00:00:00+00:00,https://cdn.northwindco.com/products/heritage-denim-jacket.jpg,"outerwear,jackets",<p>The Heritage Denim Jacket — a Northwind staple.</p>,2022-09-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
1000002,Cargo Field Pants,cargo-field-pants,Bottoms,Northwind Co.,active,2022-09-01T00:00:00+00:00,https://cdn.northwindco.com/products/cargo-field-pants.jpg,"bottoms,pants",<p>The Cargo Field Pants — a Northwind staple.</p>,2022-09-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
1000010,Resort Linen Shirt,resort-linen-shirt-1,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-linen-shirt-1.jpg,"resort-wear,limited,spring-2026",<p>Resort Linen Shirt — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000011,Resort Swim Short,resort-swim-short-2,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-swim-short-2.jpg,"resort-wear,limited,spring-2026",<p>Resort Swim Short — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000012,Resort Cover-Up Dress,resort-cover-up-dress-3,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-cover-up-dress-3.jpg,"resort-wear,limited,spring-2026",<p>Resort Cover-Up Dress — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000013,Resort Sun Hat,resort-sun-hat-4,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-sun-hat-4.jpg,"resort-wear,limited,spring-2026",<p>Resort Sun Hat — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000014,Resort Sandal Slide,resort-sandal-slide-5,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-sandal-slide-5.jpg,"resort-wear,limited,spring-2026",<p>Resort Sandal Slide — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000015,Resort Wrap Skirt,resort-wrap-skirt-6,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-wrap-skirt-6.jpg,"resort-wear,limited,spring-2026",<p>Resort Wrap Skirt — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000016,Resort Tank Top,resort-tank-top-7,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-tank-top-7.jpg,"resort-wear,limited,spring-2026",<p>Resort Tank Top — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000017,Resort Midi Dress,resort-midi-dress-8,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-midi-dress-8.jpg,"resort-wear,limited,spring-2026",<p>Resort Midi Dress — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000018,Resort Pool Tee,resort-pool-tee-9,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-pool-tee-9.jpg,"resort-wear,limited,spring-2026",<p>Resort Pool Tee — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000019,Resort Crochet Bag,resort-crochet-bag-10,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-crochet-bag-10.jpg,"resort-wear,limited,spring-2026",<p>Resort Crochet Bag — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000020,Resort Raffia Hat,resort-raffia-hat-11,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-raffia-hat-11.jpg,"resort-wear,limited,spring-2026",<p>Resort Raffia Hat — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000021,Resort Terry Short,resort-terry-short-12,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-terry-short-12.jpg,"resort-wear,limited,spring-2026",<p>Resort Terry Short — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000022,Resort Breezy Blouse,resort-breezy-blouse-13,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-breezy-blouse-13.jpg,"resort-wear,limited,spring-2026",<p>Resort Breezy Blouse — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000023,Resort Sarong Wrap,resort-sarong-wrap-14,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-sarong-wrap-14.jpg,"resort-wear,limited,spring-2026",<p>Resort Sarong Wrap — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000024,Resort Palazzo Pant,resort-palazzo-pant-15,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-palazzo-pant-15.jpg,"resort-wear,limited,spring-2026",<p>Resort Palazzo Pant — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000025,Resort Espadrille,resort-espadrille-16,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-espadrille-16.jpg,"resort-wear,limited,spring-2026",<p>Resort Espadrille — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
